Year,Month,Carrier_Code,Carrier,AirportCode,Airport,TotalOperations,ArrivalsDelayed,CarrierDelays,WeatherDelays,NAS Delays,SecurityDelays,LateAircraftDelays,ArrivalCancelled,ArrivalDiverted
2008,1,9E,Pinnacle Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85,29,11.67,0,9.26,0,8.08,5,0
2008,1,9E,Pinnacle Airlines Inc.,ALB,"Albany, NY: Albany County",51,15,5.34,0,6.79,0,2.87,6,0
2008,1,9E,Pinnacle Airlines Inc.,ALO,"Waterloo, IA: Waterloo Municipal",27,4,1,0,2,0,1,7,0
2008,1,9E,Pinnacle Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson",157,36,4.71,0,9.85,0,21.43,7,0
2008,1,9E,Pinnacle Airlines Inc.,ATW,"Appleton, WI: Outagamie County",65,8,4.08,0,2.92,0,1,5,0
2008,1,9E,Pinnacle Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",88,30,16.08,1.13,8.34,0,4.45,0,1
2008,1,9E,Pinnacle Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",90,21,5.83,0,8.27,0,6.9,3,1
2008,1,9E,Pinnacle Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton",58,20,5.5,0,5.43,0,9.07,4,1
2008,1,9E,Pinnacle Airlines Inc.,AZO,"Kalamazoo, MI: Kalamazoo Municipal",91,24,9.91,0.87,5.3,0,7.92,11,2
2008,1,9E,Pinnacle Airlines Inc.,BDL,"Hartford, CT: Bradley International",74,20,7.39,0,5.9,0,6.7,4,1
2008,1,9E,Pinnacle Airlines Inc.,BGM,"Binghamton/Endct/Jhnsn Cty, NY: Broome County",62,21,9.51,0.91,5.13,0,5.45,2,1
2008,1,9E,Pinnacle Airlines Inc.,BGR,"Bangor, ME: Bangor International",62,18,8.66,0,5.09,0,4.25,4,0
2008,1,9E,Pinnacle Airlines Inc.,BHM,"Birmingham, AL: Birmingham Municipal",149,39,14.42,1.15,13.98,0,9.46,6,0
2008,1,9E,Pinnacle Airlines Inc.,BIL,"Billings, MT: Logan International",6,4,2.69,0,1.31,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",67,12,9.04,0,1.96,0,1,10,0
2008,1,9E,Pinnacle Airlines Inc.,BNA,"Nashville, TN: Nashville Metropolitan",141,50,20.82,1.73,12.27,0,15.17,3,0
2008,1,9E,Pinnacle Airlines Inc.,BOS,"Boston, MA: Logan International",91,19,7.93,0,5.99,0,5.08,6,0
2008,1,9E,Pinnacle Airlines Inc.,BTR,"Baton Rouge, LA: Ryan",37,9,2.39,1.23,3.38,0,2,1,0
2008,1,9E,Pinnacle Airlines Inc.,BTV,"Burlington, VT: Burlington International",68,21,7.22,0,7.79,0,5.99,2,1
2008,1,9E,Pinnacle Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",28,8,3.77,0,2.41,0,1.83,3,1
2008,1,9E,Pinnacle Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",59,17,6.89,4.13,0.97,0,5,0,0
2008,1,9E,Pinnacle Airlines Inc.,BZN,"Bozeman, MT: Gallatin Field",6,3,1.32,0,0.68,0,1,1,0
2008,1,9E,Pinnacle Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",120,36,15.99,2.8,10.98,0,6.23,7,0
2008,1,9E,Pinnacle Airlines Inc.,CAK,"Akron, OH: Akron-Canton Regional",84,17,6.02,0,5.95,0,5.03,6,0
2008,1,9E,Pinnacle Airlines Inc.,CHA,"Chattanooga, TN: Lovell Field",31,12,5.51,1,1.51,0,3.98,3,0
2008,1,9E,Pinnacle Airlines Inc.,CHS,"Charleston, SC: Charleston International",120,28,7.2,2.67,8.38,0,9.76,1,0
2008,1,9E,Pinnacle Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: Cedar Rapids Municipal",174,39,21.6,0,9.73,0,7.68,15,3
2008,1,9E,Pinnacle Airlines Inc.,CLE,"Cleveland, OH: Hopkins International",242,67,34.04,0,17.19,0,15.77,3,0
2008,1,9E,Pinnacle Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",98,35,13.58,1.47,11.66,0,8.28,4,0
2008,1,9E,Pinnacle Airlines Inc.,CMH,"Columbus, OH: Columbus International",218,59,29.09,2.33,12.59,0,14.99,7,0
2008,1,9E,Pinnacle Airlines Inc.,CMX,"Hancock/Houghton, MI: Houghton County Memorial",31,8,1.63,2.54,3.83,0,0,8,0
2008,1,9E,Pinnacle Airlines Inc.,CPR,"Casper, WY: Natrona County International",31,6,1.77,0,3.99,0,0.24,0,0
2008,1,9E,Pinnacle Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/ Northern Kentucky International",207,48,28.2,0.37,10.36,0,9.07,7,0
2008,1,9E,Pinnacle Airlines Inc.,CWA,"Wausau/Marshfield, WI: Central Wisconsin",27,8,5.12,0,2.02,0,0.86,3,0
2008,1,9E,Pinnacle Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",148,35,16.5,0.58,7.42,0,10.51,2,0
2008,1,9E,Pinnacle Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",112,13,3,1,4,0.72,4.28,4,0
2008,1,9E,Pinnacle Airlines Inc.,DFW,"Dallas/Ft.Worth, TX: Dallas/Ft Worth International",58,17,2.68,1.09,7.73,0,5.5,2,0
2008,1,9E,Pinnacle Airlines Inc.,DLH,"Duluth, MN: Duluth International",84,19,8.53,1,6.47,0,3,4,0
2008,1,9E,Pinnacle Airlines Inc.,DSM,"Des Moines, IA: Des Moines Muncipal",294,94,38.63,6.75,28.53,0,20.09,13,1
2008,1,9E,Pinnacle Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4690,1192,261.62,26.88,339.23,0.13,564.15,264,11
2008,1,9E,Pinnacle Airlines Inc.,ELM,"Elmira/Corning, NY: Harris Hill Glider Port",113,30,11.44,0,10.09,0,8.47,7,0
2008,1,9E,Pinnacle Airlines Inc.,ERI,"Erie, PA: Erie International",109,33,10.71,0.31,17.03,0,4.96,12,0
2008,1,9E,Pinnacle Airlines Inc.,EVV,"Evansville, IN: Evansville Dress Regional",175,46,17.09,0.33,16.49,0,12.09,10,1
2008,1,9E,Pinnacle Airlines Inc.,FAR,"Fargo, ND: Hector Field",102,26,11.83,0,8.69,0,5.48,5,0
2008,1,9E,Pinnacle Airlines Inc.,FCA,"Kalispell, MT: Glacier Park International",5,0,0,0,0,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale International",31,5,0.39,0,3.61,0,1,0,0
2008,1,9E,Pinnacle Airlines Inc.,FNT,"Flint, MI: Bishop",95,20,7.01,0,6.94,0,6.05,13,0
2008,1,9E,Pinnacle Airlines Inc.,FSD,"Sioux Falls, SD: Regional Joe Foss Field",83,25,14.14,0,5.93,0,4.94,5,0
2008,1,9E,Pinnacle Airlines Inc.,FSM,"Fort Smith, AR: Fort Smith Regional",31,7,4.76,0,0.24,0,2,3,0
2008,1,9E,Pinnacle Airlines Inc.,FWA,"Fort Wayne, IN: Fort Wayne Muni/Baer Field",115,25,11.17,0,4.17,0,9.66,3,0
2008,1,9E,Pinnacle Airlines Inc.,GFK,"Grand Forks, ND: Grand Forks International",81,15,4.64,0.9,7.7,0,1.76,3,2
2008,1,9E,Pinnacle Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport Municipal",93,25,9.53,2.83,5.48,0,7.16,0,0
2008,1,9E,Pinnacle Airlines Inc.,GRB,"Green Bay/Clintonville, WI: Austin/Straubel",140,28,16.7,0,8.85,0,2.45,9,0
2008,1,9E,Pinnacle Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",180,46,19.71,0,14.89,0,11.4,5,0
2008,1,9E,Pinnacle Airlines Inc.,GSO,"Greensboro/High Point, NC: Greensboro High Point Winst",204,52,22.87,1.56,11.94,0,15.63,4,0
2008,1,9E,Pinnacle Airlines Inc.,GSP,"Greenville/Spartanburg, SC: Greenville/Spartanburg Airport",188,61,23.51,5.26,16.94,0,15.29,12,1
2008,1,9E,Pinnacle Airlines Inc.,GTF,"Great Falls, MT: Great Falls International",62,10,8.73,0,1.27,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,HLN,"Helena, MT: Helena Airport",31,8,3.83,0,4.17,0,0,0,1
2008,1,9E,Pinnacle Airlines Inc.,HOU,"Houston, TX: William P Hobby",92,20,8.31,0.44,6.42,0,4.82,4,0
2008,1,9E,Pinnacle Airlines Inc.,HPN,"White Plains, NY: Westchester County",64,28,12.93,0.92,6.44,0,7.71,0,0
2008,1,9E,Pinnacle Airlines Inc.,HSV,"Huntsville, AL: Huntsville International  Carl Jones",150,35,16.25,2.16,9.16,0,7.43,6,0
2008,1,9E,Pinnacle Airlines Inc.,IAD,"Washington, DC: Dulles International",40,10,4.68,0,2.82,0,2.5,2,0
2008,1,9E,Pinnacle Airlines Inc.,IAH,"Houston, TX: Houston Intercontinental",143,45,10.15,3.31,16.64,0,14.89,5,0
2008,1,9E,Pinnacle Airlines Inc.,ICT,"Wichita, KS: Mid-Continent",155,38,10.32,1.68,16.4,0,9.61,2,0
2008,1,9E,Pinnacle Airlines Inc.,IDA,"Idaho Falls, ID: Fanning Field",31,11,4.61,0,6.39,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",593,108,29.62,3.45,33.5,0,41.43,30,1
2008,1,9E,Pinnacle Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson - Evers International",149,39,22.48,0,9.64,0,6.88,4,0
2008,1,9E,Pinnacle Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",85,21,9.37,1.7,7.36,0,2.57,2,0
2008,1,9E,Pinnacle Airlines Inc.,LAN,"Lansing, MI: Capital City",108,38,13.38,1.83,11.97,0,10.82,0,0
2008,1,9E,Pinnacle Airlines Inc.,LEX,"Lexington, KY: Blue Grass",119,31,13.98,0,10.03,0,6.98,2,0
2008,1,9E,Pinnacle Airlines Inc.,LGA,"New York, NY: La Guardia",199,49,12.89,0.61,29.77,0,5.74,21,1
2008,1,9E,Pinnacle Airlines Inc.,LIT,"Little Rock, AR: Adams Field",82,20,7.86,1.97,6.26,0,3.9,1,1
2008,1,9E,Pinnacle Airlines Inc.,LNK,"Lincoln, NE: Lincoln Municipal",58,10,4.83,0,3.4,0,1.76,4,0
2008,1,9E,Pinnacle Airlines Inc.,LSE,"La Crosse, WI: La Crosse Municipal",31,6,2.53,0,1.47,0,2,3,0
2008,1,9E,Pinnacle Airlines Inc.,MBS,"Saginaw/Bay City/Midland, MI: Tri City",56,16,8.63,0,5.37,0,2,3,0
2008,1,9E,Pinnacle Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",204,51,11.47,1,28.69,0,9.85,4,0
2008,1,9E,Pinnacle Airlines Inc.,MDT,"Harrisburg, PA: Harrisburg International  Olmsted Field",73,26,12.72,0,7.79,0,5.49,2,0
2008,1,9E,Pinnacle Airlines Inc.,MDW,"Chicago, IL: Chicago Midway",1,0,0,0,0,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,MEM,"Memphis, TN: Memphis International",3416,833,156,21.02,311.09,0,344.89,137,40
2008,1,9E,Pinnacle Airlines Inc.,MGM,"Montgomery, AL: Dannelly Field",93,18,6.91,2.67,2.43,0,6,7,0
2008,1,9E,Pinnacle Airlines Inc.,MLI,"Moline, IL: Quad/City",244,65,24.48,1.88,19.62,0,19.03,17,0
2008,1,9E,Pinnacle Airlines Inc.,MOB,"Mobile, AL: Mobile Regional",93,27,9.85,0,10.18,0,6.97,8,0
2008,1,9E,Pinnacle Airlines Inc.,MSN,"Madison, WI: Truax Field",114,24,6.56,1.69,4.49,0,11.26,12,2
2008,1,9E,Pinnacle Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2550,583,146.03,16.13,175.1,0,245.74,164,5
2008,1,9E,Pinnacle Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International Airport",31,9,3.16,0,5.84,0,0,1,0
2008,1,9E,Pinnacle Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",189,57,26.99,2.5,14.3,0,13.21,4,1
2008,1,9E,Pinnacle Airlines Inc.,OMA,"Omaha, NE: Eppley Airfield",225,76,41.06,1.55,18.95,0,14.44,8,0
2008,1,9E,Pinnacle Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",101,41,15.78,2.75,17.09,0,5.38,4,0
2008,1,9E,Pinnacle Airlines Inc.,PFN,"Panama City, FL: Bay County",93,25,5.39,2.35,11.38,0,5.88,3,0
2008,1,9E,Pinnacle Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",147,34,10.47,1,10.3,0,12.23,3,1
2008,1,9E,Pinnacle Airlines Inc.,PIA,"Peoria, IL: Greater Peoria",56,19,9.23,0,4.13,0,5.63,5,0
2008,1,9E,Pinnacle Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",196,53,24.74,0.88,14.15,0,13.23,8,0
2008,1,9E,Pinnacle Airlines Inc.,PLN,"Pellston, MI: Emmet County",25,3,1,0,1,0,1,10,0
2008,1,9E,Pinnacle Airlines Inc.,PNS,"Pensacola, FL: Pensacola Regional",93,36,17.2,1.63,11.55,0,5.63,4,1
2008,1,9E,Pinnacle Airlines Inc.,PWM,"Portland, ME: Portland International  Jetport",18,11,4.44,0,3.98,0,2.58,0,0
2008,1,9E,Pinnacle Airlines Inc.,RAP,"Rapid City, SD: Rapid City Regional",31,8,4.4,0,3.38,0,0.21,4,0
2008,1,9E,Pinnacle Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh Durham",151,24,12.98,2.83,4.28,0,3.91,5,0
2008,1,9E,Pinnacle Airlines Inc.,RHI,"Rhinelander, WI: Rhinelander/Oneida County",31,7,3.51,0,2.11,0,1.38,5,0
2008,1,9E,Pinnacle Airlines Inc.,RIC,"Richmond, VA: Richmond International Aqirport",126,29,10.98,0,7.51,0,10.51,2,0
2008,1,9E,Pinnacle Airlines Inc.,ROA,"Roanoke, VA: Roanoke Municipal",68,21,9.48,0,9.85,0,1.67,5,0
2008,1,9E,Pinnacle Airlines Inc.,ROC,"Rochester, NY: Rochester Monroe County",96,33,16.61,0,7.84,0,8.55,3,0
2008,1,9E,Pinnacle Airlines Inc.,RST,"Rochester, MN: Rochester Municipal",93,19,9.26,0,6.26,0,3.47,6,2
2008,1,9E,Pinnacle Airlines Inc.,RSW,"Ft. Myers, FL: Southwest Florida International Airport ",37,5,3.92,0,1.08,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,SAV,"Savannah, GA: Savannah / Hilton Head International",44,13,4.5,0.8,5.43,0,2.27,1,0
2008,1,9E,Pinnacle Airlines Inc.,SBN,"South Bend, IN: Michiana Regional",152,57,26.54,0,19.54,0.89,10.04,5,0
2008,1,9E,Pinnacle Airlines Inc.,SCE,"State College, PA: University Park",31,11,3.94,1,4.62,0,1.44,4,0
2008,1,9E,Pinnacle Airlines Inc.,SDF,"Louisville, KY: Standiford Field",267,67,25.85,3.78,21.76,0,15.61,6,0
2008,1,9E,Pinnacle Airlines Inc.,SGF,"Springfield, MO: Springfield Regional",154,41,19.83,0.49,15.13,0,5.55,7,0
2008,1,9E,Pinnacle Airlines Inc.,SHV,"Shreveport, LA: Shreveport Regional",124,43,14.17,0.95,16.54,0,11.34,11,1
2008,1,9E,Pinnacle Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake International",6,4,2.78,0,0.22,0,1,1,0
2008,1,9E,Pinnacle Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota Bradenton",2,1,0,0,1,0,0,0,0
2008,1,9E,Pinnacle Airlines Inc.,STL,"St. Louis, MO: Lambert International",177,40,16.54,0,11.37,0,12.09,8,0
2008,1,9E,Pinnacle Airlines Inc.,SUX,"Sioux City, IA: Sioux City Municipal",37,9,3.83,0,1.17,0,4,6,0
2008,1,9E,Pinnacle Airlines Inc.,SWF,"Newburgh/Poughkeepsie, NY: Stewart",59,27,9.75,0,5.3,0,11.95,0,0
2008,1,9E,Pinnacle Airlines Inc.,TLH,"Tallahassee, FL: Tallahassee Municipal",93,21,9.05,1,4.59,0,6.36,4,0
2008,1,9E,Pinnacle Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",217,68,19.84,2.96,26.49,0,18.71,8,0
2008,1,9E,Pinnacle Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",107,27,9.84,2.73,8.27,0,6.16,7,3
2008,1,9E,Pinnacle Airlines Inc.,TYS,"Knoxville, TN: Mcghee Tyson",276,84,35.1,2.38,26.45,0,20.07,6,0
2008,1,9E,Pinnacle Airlines Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",183,47,14.29,5.72,17.8,0,9.19,5,3
2008,1,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International",275,74,22.56,2.93,21.36,0,27.14,9,1
2008,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson",711,174,50.65,6.45,42.35,0,74.54,41,0
2008,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",864,208,71.97,14.86,46.21,0,74.95,21,1
2008,1,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",151,45,24.9,0.72,9.12,0,10.26,3,0
2008,1,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham Municipal",93,16,6.91,0.29,3.34,0,5.46,0,0
2008,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville Metropolitan",449,106,35.89,4.09,21.2,0,44.82,7,4
2008,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1036,302,105.25,16.06,86.98,1.59,92.12,51,2
2008,1,AA,American Airlines Inc.,BUR,"Burbank, CA: Burbank Bob Hope",105,34,12.53,1.41,13.29,0,6.78,1,1
2008,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",266,66,32.16,2.65,10.85,0,20.34,6,0
2008,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",143,33,17.35,0.62,2.98,0,12.05,2,0
2008,1,AA,American Airlines Inc.,CMH,"Columbus, OH: Columbus International",89,13,6.75,0.45,1.48,0,4.32,0,0
2008,1,AA,American Airlines Inc.,COS,"Colorado Springs, CO: Peterson Field",155,33,16.54,2.08,4.78,0,9.6,6,1
2008,1,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",90,16,7.6,0.39,2.33,0,5.68,1,0
2008,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",859,220,78.48,17.44,39.57,0.53,83.98,27,0
